CSEN 102,Engineering 1st Semester I,4,2,Lab,Introduction to computer science,1E P01
CSEN 301,IET & MET 3rd Semester I,6,5,Lab,Data structures and Algorithms,3IET/MET P01
PHYSp 301,IET & MET 3rd Semester I,2,4,Lab,Physics III (P),3IET/MET P01
CSEN 909,MET Computer Science 9th Semester I,3,2,Lab,Human Computer Interaction,EL P01
CSEN 702,MET Computer Science 7th Semester I,1,4,Lecture,Microprocessors,CSEN L01
CSEN 704,MET Computer Science 7th Semester I,5,4,Lab,Advanced Computer lab,7CSEN P10
CSEN 102,Engineering 1st Semester II,6,3,Lab,Introduction to computer science,1E P07
CSEN 102,Engineering 1st Semester I,4,1,Tut,Introduction to computer science,1E T03
CSEN 702,MET Computer Science 7th Semester I,1,5,Lecture,Microprocessors,CSEN L02
CSEN 702,MET Computer Science 7th Semester I,2,5,Lab,Microprocessors,CSEN L02
